# Summary stats forbatch processing of regression models
# timestamp: 2020-04-10 13:59:00
"ID","file_name","slope","pval","r2"
1,"PairFile001.csv",29479.1459392902,0.655157744084359,0.00358725376642789
2,"PairFile002.csv",22071.4774384682,0.75851468159791,0.00170144086008433
3,"PairFile003.csv",90177.6936626082,0.307732313856915,0.0185700351582911
4,"PairFile004.csv",22663.0114197694,0.656608770519192,0.00355511971420386
5,"PairFile005.csv",35299.0949924822,0.123751912853189,0.0417866836526334
6,"PairFile006.csv",18683.0569571149,0.706567096927987,0.00255032907002428
7,"PairFile007.csv",30862.4094919569,0.143876405789534,0.0377527576686965
8,"PairFile008.csv",14123.5254669069,0.806119702708819,0.00108474099067677
9,"PairFile009.csv",26121.8556763636,0.155891227743077,0.0356290780096758
10,"PairFile010.csv",6636.42496907638,0.873731079743063,0.000454939101743052
11,"PairFile011.csv",238993.685035962,0.000683220962715517,0.187618514233859
12,"PairFile012.csv",235045.460301876,2.08248043441085e-12,0.589158911486003
13,"PairFile013.csv",24073.3860306561,0.139806156216015,0.0385167886255076
14,"PairFile014.csv",-26.5475901041442,0.922472763330261,0.000170628268608011
15,"PairFile015.csv",23747.8176612861,0.134428679372976,0.0395643898723044
16,"PairFile016.csv",14660.6405697455,0.663850774356193,0.00339730494998803
17,"PairFile017.csv",-39.9083134179174,0.871971292946413,0.000467816365562136
18,"PairFile018.csv",200995.401034926,3.24423542743012e-10,0.509189237131314
19,"PairFile019.csv",190229.545360593,9.18979932296635e-13,0.600856031847365
20,"PairFile020.csv",11817.195049121,0.720403629655379,0.00230546228978746
21,"PairFile021.csv",26174.5146763497,0.0126460165679807,0.105974962265468
22,"PairFile022.csv",15968.4907364188,0.13884800251091,0.0387001899087008
23,"PairFile023.csv",152658.518730189,1.73241079529874e-10,0.519896749428315
24,"PairFile024.csv",149337.947497678,2.69245504077274e-09,0.471339697666885
25,"PairFile025.csv",-19.1532679781446,0.870136983362324,0.00048143514888892
26,"PairFile026.csv",12880.5865650386,0.223886834127114,0.0263000886452309
27,"PairFile027.csv",6511.62362980895,0.638348937005369,0.00397224064552659
28,"PairFile028.csv",117274.49571633,0.00292402704338543,0.147439395937473
29,"PairFile029.csv",112281.939152284,1.48347058598168e-08,0.438785308885301
30,"PairFile030.csv",84958.5511063252,0.000543427308064911,0.193829021590223
31,"PairFile031.csv",103327.866511388,1.45370962066012e-08,0.439182930669328
32,"PairFile032.csv",7019.05720991823,0.621666608175568,0.00437816097801722
33,"PairFile033.csv",20517.9982230517,0.650621499095245,0.00368882954257753
34,"PairFile034.csv",102456.931068407,3.76290741060879e-10,0.506624273188591
35,"PairFile035.csv",101267.01012649,2.06291466720742e-10,0.516939667440821
36,"PairFile036.csv",10330.3370573751,0.726014599985784,0.00221011841701722
37,"PairFile037.csv",84178.1712855416,2.14267161043454e-07,0.383987434110638
38,"PairFile038.csv",83744.3127624416,1.36887631020302e-09,0.483735390755774
39,"PairFile039.csv",15307.1676262398,0.698230239461425,0.00270467943482784
40,"PairFile040.csv",8143.11413234828,0.149003181072635,0.0368235100634444
41,"PairFile041.csv",78287.0631820579,1.0127443850399e-08,0.446229800677211
42,"PairFile042.csv",14999.6170642153,0.668145448335523,0.00330571678969
43,"PairFile043.csv",71050.1521870472,1.06332860772779e-05,0.29484546523708
44,"PairFile044.csv",75227.6180235217,0.307309821922526,0.0186021967813694
45,"PairFile045.csv",63619.5662656163,1.7282792902752e-06,0.337695502288399
46,"PairFile046.csv",6776.88896785621,0.136334961517098,0.0391878662983722
47,"PairFile047.csv",65199.5695850247,0.000175572184145218,0.223968875606857
48,"PairFile048.csv",6533.84363065025,0.894549542392171,0.00031650299678775
49,"PairFile049.csv",12422.888322516,0.583263294237274,0.00540829886581023
50,"PairFile050.csv",58520.4045070904,0.276994700738248,0.021066984346231
51,"PairFile051.csv",55208.0535281593,1.58939117920643e-10,0.521349495998696
52,"PairFile052.csv",51275.8007741812,8.94710554508413e-17,0.71218799108767
53,"PairFile053.csv",52390.2918588368,2.0582098087453e-08,0.432323154900292
54,"PairFile054.csv",52052.1615180038,3.79084389442914e-05,0.263424408519743
55,"PairFile055.csv",50474.5075015586,8.37935720760331e-09,0.449889930386347
56,"PairFile056.csv",5879.72663902678,0.863021048710297,0.00053616803863625
57,"PairFile057.csv",47397.9773619071,6.70243486967915e-09,0.454173681307804
58,"PairFile058.csv",45176.4525745878,1.88016676657077e-06,0.335762112039668
59,"PairFile059.csv",42952.0214738828,1.88131261809636e-12,0.590629613165298
60,"PairFile060.csv",4125.37839696913,0.165774392719334,0.0340138106577033
61,"PairFile061.csv",43456.3035051316,4.65049213644394e-10,0.50293912214937
62,"PairFile062.csv",2678.51816607479,0.720168835768151,0.00230950133952041
63,"PairFile063.csv",40097.4849096976,2.10473020381141e-15,0.678093807092952
64,"PairFile064.csv",2005.04608952023,0.756839108980048,0.00172588468651696
65,"PairFile065.csv",39493.9076988238,3.24463821032672e-08,0.423222787666215
66,"PairFile066.csv",6320.59113170183,0.784972220210751,0.00134038740894186
67,"PairFile067.csv",-58.5918500694049,0.713727477289703,0.00242186601269795
68,"PairFile068.csv",37645.943229301,1.64243175163896e-09,0.480424779886839
69,"PairFile069.csv",35838.4033843927,0.0313692423394172,0.0800743187539128
70,"PairFile070.csv",36631.7065002025,1.66658900703787e-09,0.480158572492123
71,"PairFile071.csv",32827.3145089104,4.55125195532873e-13,0.610642114898726
72,"PairFile072.csv",35796.3966671478,0.175180312416702,0.0325734292347387
