"","Transcript","Gene"
"157","ENST00000462856.6"," FYN"
"158","ENST00000354650.7"," FYN"
"159","ENST00000645763.1"," CTNNB1"
"160","ENST00000495927.5"," FYN"
"161","ENST00000491588.1"," MAPK1"
"162","ENST00000476769.6"," FYN"
"163","ENST00000527891.5"," ATM"
"164","ENST00000418674.1"," PTPRC"
"165","ENST00000568209.5"," UBE2I"
"166","ENST00000348549.9"," CASP9"
"167","ENST00000420246.6"," TP53"
"168","ENST00000003084.10"," CFTR"
"169","ENST00000465552.2"," CTNNB1"
"170","ENST00000643052.1"," CTNNB1"
"171","ENST00000405573.2"," MADD"
"172","ENST00000407859.7"," MADD"
"173","ENST00000486198.1"," NCOA1"
"174","ENST00000645247.1"," PTPRC"
"175","ENST00000368678.8"," FYN"
"176","ENST00000538466.5"," FYN"
"177","ENST00000425664.5"," SCN5A"
"178","ENST00000529588.5"," ATM"
"179","ENST00000475440.1"," AHR"
"180","ENST00000368678.8"," FYN"
"181","ENST00000538466.5"," FYN"
"182","ENST00000530727.5"," PTPRC"
"183","ENST00000491588.1"," MAPK1"
"184","ENST00000398822.7"," MAPK1"
"185","ENST00000527181.1"," ATM"
"186","ENST00000534625.1"," ATM"
"187","ENST00000374179.8"," MAPK8"
"188","ENST00000426557.5"," MAPK8"
"189","ENST00000327956.6"," SCN5A"
"190","ENST00000466205.5"," CD40"
"191","ENST00000482042.1"," CTNNB1"
"192","ENST00000489415.1"," MADD"
"193","ENST00000640388.1"," ATM"
"194","ENST00000639953.1"," ATM"
"195","ENST00000647988.1"," PLAGL1"
"196","ENST00000370758.5"," PTGFR"
"197","ENST00000406620.5"," UBE2I"
"198","ENST00000547303.5"," DDIT3"
"199","ENST00000532765.1"," ATM"
"200","ENST00000623876.2"," DDIT3"
"201","ENST00000347470.8"," MAPK9"
"202","ENST00000531525.2"," ATM"
"203","ENST00000530958.5"," ATM"
"204","ENST00000526567.5"," ATM"
"205","ENST00000536438.5"," FKBP5"
"206","ENST00000467921.6"," FYN"
"207","ENST00000492120.1"," AHR"
"208","ENST00000396183.7"," CTNNB1"
"209","ENST00000397514.7"," UBE2I"
"210","ENST00000527891.5"," ATM"
"211","ENST00000360537.6"," PLAGL1"
"212","ENST00000517419.5"," FYN"
"213","ENST00000407859.7"," MADD"
"214","ENST00000465552.2"," CTNNB1"
"215","ENST00000644138.1"," CTNNB1"
"216","ENST00000539068.5"," FKBP5"
"217","ENST00000568209.5"," UBE2I"
"218","ENST00000490379.1"," MAPK14"
"219","ENST00000532765.1"," ATM"
"220","ENST00000398822.7"," MAPK1"
"221","ENST00000552789.5"," LTA4H"
"222","ENST00000640388.1"," ATM"
"223","ENST00000517419.5"," FYN"
"224","ENST00000491957.5"," MAPK14"
"225","ENST00000526567.5"," ATM"
